energy epsilon1 epsilon2
0.1 5.438550452281907 6.0831772322361
0.11 2.845747935895025 3.6943399808197
0.12 2.5313166228335935 1.8012359914025
0.13 2.734441947657769 1.6591962654088
0.14 2.811402825647762 1.3728088635734
0.15 2.8346726984134563 1.455080896998
0.16 2.776673899027411 1.347259829183
0.17 2.7088098314299955 1.3352128110545
0.18 2.6224526178603442 1.2124900121544
0.19 2.648265436332983 0.97618799732508
0.2 2.6513142512399837 1.0998531547814
0.21 2.6298940217214333 0.91273465921391
0.22 2.6644619695466565 0.91976698195859
0.23 2.6730857636681136 0.9039996301208
0.24 2.6806137686357387 0.91836048693669
0.25 2.6169777371599126 1.0322246812291
0.26 2.547089991440556 0.92269165970636
0.27 2.482042107846288 0.96863840183686
0.28 2.434941015766879 0.80231924164565
0.29 2.44726009871126 0.76860794693954
0.3 2.4580548314429986 0.7331637010301
0.31 2.41668424327592 0.80656568851344
0.32 2.3929535752212083 0.65153528065739
0.33 2.402244777613575 0.69503669607929
0.34 2.340705060631426 0.70939649649861
0.35 2.3363381966638332 0.52791501245425
0.36 2.364401367998177 0.58043159065239
0.37 2.349031264787352 0.55371503630494
0.38 2.334590835019521 0.54567365214492
0.39 2.2995144040163504 0.54274008645672
0.4 2.258258919426297 0.48561030458895
0.41 2.2493544409227733 0.3876468049581
0.42 2.288612649088064 0.30333998580481
0.43 2.310398555927719 0.34025208359025
0.44 2.3209802935313766 0.27201706986469
0.45 2.325380891975423 0.30342547482699
0.46 2.326949080142533 0.22418673644067
0.47 2.348325023951184 0.21297311943691
0.48 2.3731052279712914 0.16634469461398
0.49 2.4029600499427977 0.16693455611532
0.5 2.424327493450577 0.15664317770174
0.51 2.443415518423396 0.15701706081351
0.52 2.4584509149956455 0.15512198308444
0.53 2.4705132819995246 0.1580321677765
0.54 2.473595338573369 0.16598715489234
0.55 2.477814849129088 0.14798136033108
0.56 2.4890516555640008 0.14293428798348
0.57 2.498517647943037 0.14133121374602
0.58 2.5058616375363423 0.13962121003804
0.59 2.516190664017506 0.13153947152259
0.6 2.526275173446998 0.13904934164234
0.61 2.530007044525103 0.14526862147882
0.62 2.530111562999832 0.14863365555912
0.63 2.531427960031278 0.14522578951228
0.64 2.5261774095774214 0.1580772329553
0.65 2.5224087260575714 0.13595544920882
0.66 2.529757912929828 0.13033155207899
0.67 2.5296232567830037 0.14115589799663
0.68 2.529697239080276 0.12597415585481
0.69 2.522572053241035 0.1458169913937
0.7 2.514425262513278 0.11280299011058
