energy real_0.001 imag_0.001 real_0.002 imag_0.002 real_0.005 imag_0.005 real_0.01 imag_0.01 real_0.02 imag_0.02 real_0.05 imag_0.05 real_0.1 imag_0.1 real_0.2 imag_0.2 real_0.5 imag_0.5
0.1 203.21863168646806 184.62606701519 103.3872615201268 82.582863447349 43.17528560693927 31.743967125913 22.770739540571878 17.120784528298 12.20425230522939 10.455928628245 5.438550452281907 6.0831772322361 2.8934216728329805 3.4958769525899 1.4797696177787338 1.676652610567 0.6094421793858442 0.63251998325982
0.11 137.13964544935425 59.658803292397 72.31150769020189 34.052557819504 30.46564986040939 16.91051699109 15.6535430050094 10.421064720477 7.770804743277023 6.6238298010397 2.845747935895025 3.6943399808197 1.3999532605325558 2.1627500825829 0.7567922733501825 1.1450949882657 0.32994296443609233 0.51732981804748
0.12 145.89611102811887 34.650721854037 73.95416432675673 18.681910154802 29.606951070964357 9.3268654249198 14.611608912503117 5.8582098247597 7.0521459424598145 3.5926393720545 2.5313166228335935 1.8012359914025 1.2058792241961256 1.0710224409811 0.6160818481594709 0.63196922441973 0.23488229545678022 0.3337143314184
0.13 151.095269893991 33.534107517445 75.79633124779387 19.323103050171 30.153737929974913 8.8479139671635 14.867846783746902 5.0691461304348 7.258080063615181 3.1020773733643 2.734441947657769 1.6591962654088 1.3153991238649467 0.99528784275866 0.6399680819640856 0.5723068220512 0.21924461266490475 0.28051024497155
0.14 151.7112390100066 26.527047491416 75.46793639510867 14.546986661889 30.193183292752142 6.7271013944016 15.07371377759005 3.916130498444 7.420936489853624 2.4515785756656 2.811402825647762 1.3728088635734 1.3467798790944412 0.84124112850727 0.6426305666605333 0.48695027314925 0.2168431912065949 0.22901368048595
0.15 158.08518534775268 13.156019595596 78.33019141243267 8.4446801720463 31.143448402192394 5.0552349306278 15.508129362749196 3.5231488641114 7.594991584564409 2.4706763880867 2.8346726984134563 1.455080896998 1.3429875247913 0.88650094305092 0.6338658651553171 0.49911884183093 0.21456026048964344 0.2311490101865
0.16 168.24178108283513 14.229873590689 83.24154369431929 7.9826224318413 32.78022106733887 4.4177839397885 16.057874492434085 3.2341054419449 7.670044330380794 2.3673165377873 2.776673899027411 1.347259829183 1.297983558501269 0.80989379866139 0.6086757418284239 0.45881551519039 0.20363257130304435 0.21643376783624
0.17 178.41552234022265 16.429103344419 88.46180919945304 9.7885828599202 34.646439085641695 5.4545751009473 16.587025612072697 3.8477130308915 7.658031839304593 2.5901769080358 2.7088098314299955 1.3352128110545 1.2504320463767575 0.7976555768163 0.5714306551367625 0.46812267273759 0.17985664518124683 0.22919343801908
0.18 194.7104962790561 24.076595157618 94.18146800885768 16.788347475401 35.206948738368745 9.6654201565891 16.295412087758667 5.5154730629361 7.40304179511866 2.7996940847255 2.6224526178603442 1.2124900121544 1.1946705979183534 0.71048132855499 0.530723333580721 0.3989934029082 0.15713624976419058 0.18177132380469
0.19 169.51265115964935 111.86731219048 81.44353369650672 52.273961374122 31.025564436250875 16.657367192907 14.946899600391056 6.4183360729419 7.164755925287652 2.50292430855 2.648265436332983 0.97618799732508 1.2065133252007898 0.56505172251227 0.5345851826916641 0.31653759223827 0.16086786516641366 0.14327963429147
0.2 125.84586135838853 63.194545603199 62.290975159909785 30.046269040817 25.798509665482406 11.524905698648 13.486939332138846 5.4279331228535 6.920602337247592 2.544969020288 2.6513142512399837 1.0998531547814 1.218039486106459 0.60698955078289 0.5455000624008647 0.31888771981818 0.16780894564927065 0.14032113263318
0.21 129.06974217346394 9.493336824319 63.77947392965177 5.9150558151548 25.86625819900577 3.8562906452349 13.328121151642112 2.8252164271047 6.83489805543391 1.8257514415965 2.6298940217214333 0.91273465921391 1.2097662176585289 0.52840991275734 0.5426696145800828 0.29372034175618 0.16597762557357665 0.13404287450922
0.22 149.75338436057245 3.4109681616926 73.0733181005642 2.6700993614276 28.778236573225012 2.1856407999983 14.30948616859434 1.9217336349704 7.081928043084763 1.560877341298 2.6644619695466565 0.91976698195859 1.2225115756854261 0.52048880360494 0.5475474055422511 0.27392511412081 0.16819379508911392 0.11603775036317
0.23 167.77117586297794 3.0608709944888 81.2357200494432 2.4937659716022 31.624642205083408 2.1413338711021 15.452219257076182 1.8753069003325 7.406114905709574 1.5087086838144 2.6730857636681136 0.9039996301208 1.2090910359574603 0.5328338623519 0.5404744608159231 0.28707320849035 0.1677367003586835 0.12302279108604
0.24 187.1539486943678 10.818252467066 89.35387119698869 6.6539401273643 34.141454866606665 4.0954588803175 16.35203500748227 2.9059797089713 7.634246018621962 1.9115923130171 2.6806137686357387 0.91836048693669 1.1985324126731485 0.48715926296366 0.5331750760748011 0.25174122033976 0.1665860206324962 0.1048053387872
0.25 214.61059578420452 28.555683003543 98.63065388399095 15.525464324682 35.55819562542722 8.2124342468312 16.376982619003638 4.841410580259 7.470943371773368 2.5807849098161 2.6169777371599126 1.0322246812291 1.1794669214539817 0.51491075379273 0.5282995130738117 0.25888159157675 0.16826068567012956 0.10801617579256
0.26 162.8811906287984 188.34158997055 81.41366854538802 68.682293831304 31.824780726429175 17.628636398368 15.251525998639568 6.453047213735 7.128651557738843 2.5996784469708 2.547089991440556 0.92269165970636 1.1552445863877192 0.4602254902366 0.5162104035606437 0.23864706085244 0.16085919627184192 0.1102555277129
0.27 107.64931753523476 51.956926359979 61.03178922859533 28.938302124424 26.725250067160363 12.984874069781 13.723111580183426 6.3120863591405 6.74759332102782 2.7752954136092 2.482042107846288 0.96863840183686 1.1306910226027396 0.46545930269759 0.5056105661569895 0.22543012158925 0.15491334729982342 0.092709085833894
0.28 114.10344683407833 58.893006304178 60.3430999279361 27.894326990827 25.194451711740562 10.296786969174 12.85161807985268 5.021836874249 6.434183208952192 2.3451918679103 2.434941015766879 0.80231924164565 1.1215828824435055 0.37324492295788 0.5062808416392046 0.18365024012698 0.15662004916764272 0.080177923283446
0.29 112.39252114034869 31.81530490612 59.22748512853548 17.477133937581 24.672792150249755 8.2020728609576 12.545517951136057 4.3436111751931 6.3440308634409694 2.0836235757995 2.44726009871126 0.76860794693954 1.136919174930063 0.36405384465061 0.5157216063882305 0.17701627661531 0.16084142131741208 0.072226529849508
0.3 119.77899606747636 20.822285069588 60.87162084747651 13.728072819232 24.714771385862576 6.3836458464077 12.55177879996499 3.3885008823193 6.359269454839602 1.8418158118697 2.4580548314429986 0.7331637010301 1.1495388627248613 0.33686669941629 0.5247611742048819 0.16183230052071 0.1669824174348192 0.066278529950045
0.31 132.61216319673784 6.320897484813 65.48483105425319 5.0917876013516 25.914585947333887 3.8207511846723 12.87105581244236 2.904413355473 6.339994297482755 1.8835948278505 2.41668424327592 0.80656568851344 1.1397318903506592 0.37551451139734 0.5241954633142084 0.17924094590938 0.16861004241652072 0.073955103426307
0.32 150.75521715858736 8.2365320393078 73.49902790698476 5.5194171823782 28.267338649384538 3.4235969083019 13.552250235320503 2.3635050425554 6.429983633962452 1.5022206377924 2.3929535752212083 0.65153528065739 1.12882637515235 0.31378999864187 0.5208630952430396 0.15534167959795 0.16846397139091657 0.066418925143476
0.33 174.89427419712123 16.248837028926 82.82060030542519 10.140951597916 30.682010332283323 5.5214381703925 14.276570503014659 3.3105180130837 6.588680833947677 1.788165041431 2.402244777613575 0.69503669607929 1.127100602594027 0.32878855018002 0.5184123246789152 0.16387561311699 0.16621320601742387 0.074003012662917
0.34 152.2861785738338 120.15466998084 74.02745134177306 48.858279843021 27.913957247236016 15.425337347874 13.201235567425872 6.2745504481312 6.249430175109713 2.4324007228617 2.340705060631426 0.70939649649861 1.109775615237242 0.30177998069815 0.5113377334252381 0.1449224848398 0.1616579202241387 0.064152925270859
0.35 100.65663330432744 80.37892072332 54.39018391702885 34.354969872582 23.02975489149023 10.511909100887 11.83730322213279 4.1166568259109 5.9782954812560005 1.6460620014879 2.3363381966638332 0.52791501245425 1.1191188570066053 0.2429457364556 0.5164243825188903 0.12295696146709 0.1633656721728934 0.054971735713346
0.36 106.05142791497556 9.6084512052111 56.14377070797263 7.3614664262826 23.305416807252147 5.1235344700166 11.874054118043103 3.3177382825591 6.0004444461610635 1.7210113572965 2.364401367998177 0.58043159065239 1.134499571166849 0.25516188159931 0.5230944758554202 0.12381020668012 0.16567317572668724 0.054836362571505
0.37 114.68437820248153 52.284637412108 59.38212223080988 23.262909867005 23.866663807927168 7.6589992232345 11.846445506091753 3.4413449483809 5.915061138305477 1.6056205347468 2.349031264787352 0.55371503630494 1.137191456303637 0.24280619426993 0.5262980001593137 0.1169741510456 0.16647330646369726 0.051649891755174
