# Direct absorption versus energy
# Photon energy (eV), Imaginary dielectric function along x,y,z,average
            0.100000  0.23621293221187E+00  0.19502647516763E+00  0.23658630088917E+00  0.22260856942289E+00
            0.130000  0.57107348037699E+00  0.61339234979807E+00  0.47390232687364E+00  0.55278938568290E+00
            0.160000  0.63286529434409E+01  0.54789226400745E+01  0.28397035428906E+01  0.48824263754687E+01
            0.190000  0.36491858030849E+01  0.31724557942158E+01  0.18073067438223E+01  0.28763161137077E+01
            0.220000  0.56880218625068E+01  0.48711045435543E+01  0.23035909979963E+01  0.42875724680191E+01
            0.250000  0.45923174562385E+01  0.37574656270634E+01  0.21910064531147E+01  0.35135965121389E+01
            0.280000  0.46280154362462E+01  0.44561559480619E+01  0.23045958900005E+01  0.37962557581029E+01
            0.310000  0.18147351397365E+01  0.17137183448866E+01  0.10184650383869E+01  0.15156395076700E+01
            0.340000  0.65428142599145E+00  0.50823396370488E+00  0.24568437099550E+00  0.46939992023061E+00
            0.370000  0.71062897155384E+00  0.56841085710710E+00  0.25604966055800E+00  0.51169649640631E+00
            0.400000  0.14300662413699E+00  0.13481137247753E+00  0.86076240359925E-01  0.12129807899148E+00
            0.430000  0.80165803267174E-01  0.83274983085463E-01  0.37200391169699E-01  0.66880392507445E-01
            0.460000  0.11955599289915E+00  0.95032637643207E-01  0.44046746096782E-01  0.86211792213046E-01
            0.490000  0.14212584753495E+00  0.11304533222774E+00  0.50181319812725E-01  0.10178416652514E+00
            0.520000  0.15971157668409E+00  0.13137454287346E+00  0.72422165605923E-01  0.12116942838782E+00
            0.550000  0.69938071732766E+00  0.45923070105054E+00  0.21683892942674E+00  0.45848344926831E+00
            0.580000  0.27022936266919E+00  0.29648450862891E+00  0.11962455636601E+00  0.22877947588804E+00
            0.610000  0.11938983671607E+01  0.11400228911354E+01  0.42705335937511E+00  0.92032487255707E+00
            0.640000  0.26472415256214E+01  0.20898618191773E+01  0.76794548443942E+00  0.18350162764127E+01
            0.670000  0.14815402180464E+01  0.13323799712229E+01  0.45380638796368E+00  0.10892421924110E+01
            0.700000  0.15670232931681E+01  0.11959024569781E+01  0.53468799271446E+00  0.10992045809535E+01
            0.730000  0.74817689587192E+00  0.71602251944280E+00  0.35599422283262E+00  0.60673121271578E+00
            0.760000  0.14442197462944E+01  0.10120867231035E+01  0.50278983497305E+00  0.98636543479034E+00
            0.790000  0.11008907595352E+01  0.10760658220687E+01  0.42434235308049E+00  0.86709964489479E+00
            0.820000  0.53363337080058E+00  0.36896710203443E+00  0.17588948885569E+00  0.35949665389690E+00
            0.850000  0.28318321099802E+00  0.25802659518487E+00  0.15112600462622E+00  0.23077860360304E+00
            0.880000  0.13202741146796E+00  0.11895858802819E+00  0.67409097938700E-01  0.10613169914495E+00
            0.910000  0.16817521115801E+00  0.17536874599040E+00  0.12193383694239E+00  0.15515926469693E+00
            0.940000  0.10649774447823E-01  0.13617082159042E-01  0.68462446066077E-02  0.10371033737824E-01
            0.970000  0.21642012525111E-01  0.46545804654502E-01  0.25885192968989E-01  0.31357670049534E-01
            1.000000  0.23361440888804E-01  0.23285192861516E-01  0.21271597048823E-01  0.22639410266381E-01
            1.030000  0.48670189481564E-01  0.58721418047541E-01  0.40507082952524E-01  0.49299563493876E-01
            1.060000  0.33943375869008E-01  0.36342653333329E-01  0.85430101941999E-01  0.51905377048112E-01
            1.090000  0.70242368316638E-01  0.65791464374067E-01  0.43420111534347E-01  0.59817981408351E-01
            1.120000  0.20345808319657E-02  0.20975111763608E-02  0.26714323763801E-02  0.22678414615689E-02
            1.150000  0.34160972185231E-01  0.37128735268181E-01  0.41135967728606E-01  0.37475225060673E-01
            1.180000  0.40321432627584E-01  0.47196349244455E-01  0.33344488269410E-01  0.40287423380483E-01
            1.210000  0.59099750970081E-01  0.73564883040213E-01  0.14235214449282E+00  0.91672259501039E-01
            1.240000  0.46353054318058E-01  0.50870586169563E-01  0.45394246542359E-01  0.47539295676660E-01
            1.270000  0.26630888051254E-01  0.33282969111506E-01  0.25203957423467E-01  0.28372604862076E-01
            1.300000  0.39499653049354E-01  0.29371800467535E-01  0.31373569240927E-01  0.33415007585939E-01
            1.330000  0.51901114604007E-01  0.54614013443806E-01  0.65238642070332E-01  0.57251256706048E-01
            1.360000  0.13581476220430E+00  0.10577566891092E+00  0.24161926836216E+00  0.16106989982579E+00
            1.390000  0.83263324687205E-01  0.79508842087248E-01  0.87857369280466E-01  0.83543178684973E-01
            1.420000  0.17106268612468E+00  0.18048866759464E+00  0.25910461366159E+00  0.20355198912697E+00
            1.450000  0.14195651528523E+00  0.13176951163268E+00  0.81296347009156E-01  0.11834079130902E+00
            1.480000  0.37290820061100E+00  0.31793145697211E+00  0.23436003866067E+00  0.30839989874793E+00
            1.510000  0.34826740032818E+00  0.27047086543962E+00  0.17320365339228E+00  0.26398063972003E+00
            1.540000  0.71867475815467E-01  0.50598418264319E-01  0.27270953276812E-01  0.49912282452200E-01
            1.570000  0.47844360422294E-01  0.41093044513731E-01  0.35563002953068E-01  0.41500135963031E-01
            1.600000  0.22014522821133E-01  0.27310190688072E-01  0.24910976727499E-01  0.24745230078902E-01
            1.630000  0.23815085515200E-01  0.32671424837002E-01  0.33748149358150E-01  0.30078219903451E-01
            1.660000  0.19178803761523E-01  0.20193994085735E-01  0.17284911965452E-01  0.18885903270903E-01
            1.690000  0.56681902833860E-01  0.60508651557188E-01  0.51512816607727E-01  0.56234456999591E-01
            1.720000  0.29236700414593E-01  0.53751181442266E-01  0.73568209930804E-01  0.52185363929221E-01
