# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1     0.00000     0.41238     0.00000   -3.965736490   -4.524578337   -0.558841846
     1       1     0.00000     0.42488     0.00000   -3.849079112   -4.414551425   -0.565472313
     1       1     0.00000     0.43737     0.00000   -3.729356286   -4.301845790   -0.572489504
     1       1     0.00000     0.44987     0.00000   -3.606415139   -4.186126678   -0.579711539
     1       1     0.00000     0.46237     0.00000   -3.480684910   -4.067695976   -0.587011066
     1       1     0.00000     0.47486     0.00000   -3.352025188   -3.946310648   -0.594285460
     1       1     0.00000     0.48736     0.00000   -3.220485976   -3.821909754   -0.601423779
     1       1     0.00000     0.49986     0.00000   -3.086119719   -3.694394407   -0.608274689
     1       1     0.00000     0.51235     0.00000   -2.948561281   -3.563182249   -0.614620968
     1       1     0.00000     0.52485     0.00000   -2.808690800   -3.428864024   -0.620173224
     1       1     0.00000     0.53735     0.00000   -2.666165881   -3.290771219   -0.624605339
     1       1     0.00000     0.54984     0.00000   -2.521425697   -3.149082188   -0.627656490
     1       1     0.00000     0.56234     0.00000   -2.374295466   -3.003591362   -0.629295895
     1       1     0.00000     0.57483     0.00000   -2.224203171   -2.854061961   -0.629858790
     1       1     0.00000     0.58733     0.00000   -2.071943655   -2.701880537   -0.629936883
     1       1     0.00000     0.59983     0.00000   -1.917157354   -2.547095509   -0.629938155
     1       1     0.00000     0.61232     0.00000   -1.760136599   -2.390074754   -0.629938155
     1       1     0.00900     0.61232     0.00900   -1.760873030   -2.390776332   -0.629903302
     1       1     0.01801     0.61232     0.01801   -1.763114225   -2.392912331   -0.629798106
     1       1     0.02701     0.61232     0.02701   -1.766735301   -2.396352952   -0.629617651
     1       1     0.03602     0.61232     0.03602   -1.772137862   -2.401450937   -0.629313075
     1       1     0.04502     0.61232     0.04502   -1.779710192   -2.408430939   -0.628720747
     1       1     0.05403     0.61232     0.05403   -1.789546737   -2.417145866   -0.627599129
     1       1     0.06303     0.61232     0.06303   -1.801989318   -2.427738027   -0.625748709
     1       1     0.07204     0.61232     0.07204   -1.817302047   -2.440417422   -0.623115376
     1       1     0.08104     0.61232     0.08104   -1.836172461   -2.456021825   -0.619849365
     1       1     0.09005     0.61232     0.09005   -1.858962533   -2.475293735   -0.616331202
     1       1     0.09905     0.61232     0.09905   -1.885982135   -2.499129788   -0.613147653
     1       1     0.10806     0.61232     0.10806   -1.918102300   -2.529069680   -0.610967380
     1       1     0.11706     0.61232     0.11706   -1.955607926   -2.565855038   -0.610247112
     1       1     0.12607     0.61232     0.12607   -1.998828026   -2.609703881   -0.610875856
     1       1     0.13507     0.61232     0.13507   -2.048602261   -2.660788348   -0.612186087
     1       1     0.14408     0.61232     0.14408   -2.104433371   -2.717962638   -0.613529267
     1       1     0.15308     0.61232     0.15308   -2.166768758   -2.781465171   -0.614696413
     1       1     0.15014     0.60055     0.15014   -2.158756566   -2.772619393   -0.613862826
     1       1     0.14719     0.58877     0.14719   -2.179245904   -2.791454044   -0.612208140
     1       1     0.14425     0.57700     0.14425   -2.227149125   -2.837396957   -0.610247832
     1       1     0.14131     0.56522     0.14131   -2.297697995   -2.906254194   -0.608556199
     1       1     0.13836     0.55345     0.13836   -2.385221661   -2.992655177   -0.607433516
     1       1     0.13542     0.54167     0.13542   -2.484820969   -3.091700524   -0.606879554
     1       1     0.13247     0.52990     0.13247   -2.592692462   -3.199401054   -0.606708592
     1       1     0.12953     0.51812     0.12953   -2.706112328   -3.312829630   -0.606717302
     1       1     0.12659     0.50634     0.12659   -2.823139709   -3.429958444   -0.606818735
     1       1     0.12364     0.49457     0.12364   -2.942465964   -3.549467474   -0.607001510
     1       1     0.12070     0.48279     0.12070   -3.062830421   -3.669767841   -0.606937420
     1       1     0.11775     0.47102     0.11775   -3.183563645   -3.790334380   -0.606770735
     1       1     0.11481     0.45924     0.11481   -3.304010207   -3.910632217   -0.606622010
     1       1     0.11187     0.44747     0.11187   -3.423638730   -4.029537176   -0.605898446
     1       1     0.10892     0.43569     0.10892   -3.542172247   -4.146047983   -0.603875736
     1       1     0.10598     0.42392     0.10598   -3.659258926   -4.259723120   -0.600464195
     1       1     0.10304     0.41214     0.10304   -3.774610676   -4.370721730   -0.596111054
     1       1     0.10009     0.40037     0.10009   -3.887995568   -4.480580190   -0.592584622
     1       1     0.09715     0.38859     0.09715   -3.998885704   -4.588093293   -0.589207589
     1       1     0.09420     0.37681     0.09420   -4.107590009   -4.692827043   -0.585237034
     1       1     0.09126     0.36504     0.09126   -4.213911588   -4.794467874   -0.580556285
     1       1     0.08832     0.35326     0.08832   -4.317499915   -4.892478426   -0.574978511
     1       1     0.08537     0.34149     0.08537   -4.418555608   -4.986881034   -0.568325427
     1       1     0.08243     0.32971     0.08243   -4.516565399   -5.077246795   -0.560681396
     1       1     0.07948     0.31794     0.07948   -4.611798627   -5.164445269   -0.552646643
     1       1     0.07654     0.30616     0.07654   -4.703907288   -5.249261758   -0.545354471
     1       1     0.07360     0.29439     0.07360   -4.793074251   -5.333093476   -0.540019226
     1       1     0.07065     0.28261     0.07065   -4.879102708   -5.416219016   -0.537116308
     1       1     0.06771     0.27084     0.06771   -4.961896679   -5.497825633   -0.535928954
     1       1     0.06477     0.25906     0.06477   -5.041455905   -5.576746800   -0.535290895
     1       1     0.06182     0.24728     0.06182   -5.117734385   -5.652480620   -0.534746235
     1       1     0.05888     0.23551     0.05888   -5.190635661   -5.725420550   -0.534784889
     1       1     0.05593     0.22373     0.05593   -5.260230939   -5.795199619   -0.534968680
     1       1     0.05299     0.21196     0.05299   -5.326306444   -5.861286801   -0.534980358
     1       1     0.05005     0.20018     0.05005   -5.388967194   -5.922837458   -0.533870263
     1       1     0.04710     0.18841     0.04710   -5.448287313   -5.978716127   -0.530428814
     1       1     0.04416     0.17663     0.04416   -5.504068850   -6.028352355   -0.524283506
     1       1     0.04121     0.16486     0.04121   -5.556404887   -6.072485616   -0.516080729
     1       1     0.03827     0.15308     0.03827   -5.605216162   -6.112183259   -0.506967096
     1       1     0.03533     0.14131     0.03533   -5.650483274   -6.148510870   -0.498027596
     1       1     0.03238     0.12953     0.03238   -5.692188893   -6.182206837   -0.490017944
     1       1     0.02944     0.11775     0.02944   -5.730313872   -6.213662428   -0.483348556
     1       1     0.02649     0.10598     0.02649   -5.764851716   -6.243017330   -0.478165614
     1       1     0.02355     0.09420     0.02355   -5.795826930   -6.270260278   -0.474433347
     1       1     0.02061     0.08243     0.02061   -5.823143294   -6.295134497   -0.471991204
     1       1     0.01766     0.07065     0.01766   -5.846839039   -6.317431323   -0.470592283
     1       1     0.01472     0.05888     0.01472   -5.866898169   -6.336835397   -0.469937228
     1       1     0.01178     0.04710     0.01178   -5.883285573   -6.353003049   -0.469717476
     1       1     0.00883     0.03533     0.00883   -5.896067517   -6.365744776   -0.469677259
     1       1     0.00589     0.02355     0.00589   -5.905163095   -6.374838176   -0.469675082
     1       1     0.00294     0.01178     0.00294   -5.910548365   -6.380223441   -0.469675076
     1       1     0.00000     0.00000     0.00000   -5.912355879   -6.382030955   -0.469675076
     1       2     0.30616     0.30616     0.30616   -0.943014298   -1.564894158   -0.621879860
     1       2     0.29904     0.29904     0.29904   -0.931798152   -1.553545611   -0.621747459
     1       2     0.29192     0.29192     0.29192   -0.898398541   -1.519761036   -0.621362495
     1       2     0.28480     0.28480     0.28480   -0.844042149   -1.464651814   -0.620609665
     1       2     0.27768     0.27768     0.27768   -0.770432007   -1.389416959   -0.618984952
     1       2     0.27056     0.27056     0.27056   -0.679543658   -1.295602879   -0.616059221
     1       2     0.26344     0.26344     0.26344   -0.573393950   -1.185255850   -0.611861901
     1       2     0.25632     0.25632     0.25632   -0.454029930   -1.060764780   -0.606734850
     1       2     0.24920     0.24920     0.24920   -0.322883518   -0.923955913   -0.601072395
     1       2     0.24208     0.24208     0.24208   -0.181737798   -0.776926671   -0.595188873
     1       2     0.23496     0.23496     0.23496   -0.031545450   -0.620828688   -0.589283238
     1       2     0.22784     0.22784     0.22784    0.126691209   -0.456781918   -0.583473127
     1       2     0.22072     0.22072     0.22072    0.291991082   -0.285846342   -0.577837425
     1       2     0.21360     0.21360     0.21360    0.463630357   -0.108833008   -0.572463365
     1       2     0.20648     0.20648     0.20648    0.641082653    0.073596573   -0.567486080
     1       2     0.19936     0.19936     0.19936    0.823666708    0.260552980   -0.563113728
     1       2     0.19224     0.19224     0.19224    1.011016805    0.451401380   -0.559615426
     1       2     0.18512     0.18512     0.18512    1.202738920    0.645501922   -0.557236998
     1       2     0.17800     0.17800     0.17800    1.398483507    0.842454298   -0.556029209
     1       2     0.17088     0.17088     0.17088    1.597507776    1.041823758   -0.555684018
     1       2     0.16376     0.16376     0.16376    1.800467478    1.244805448   -0.555662030
     1       2     0.15664     0.15664     0.15664    2.006425695    1.450759567   -0.555666128
     1       2     0.14952     0.14952     0.14952    2.215228934    1.659562765   -0.555666169
     1       2     0.14240     0.14240     0.14240    2.426598346    1.870935507   -0.555662839
     1       2     0.13528     0.13528     0.13528    2.640370288    2.084783994   -0.555586295
     1       2     0.12816     0.12816     0.12816    2.856002749    2.301232660   -0.554770089
     1       2     0.12104     0.12104     0.12104    3.073283549    2.521259086   -0.552024464
     1       2     0.11392     0.11392     0.11392    3.291850925    2.745144473   -0.546706451
     1       2     0.10680     0.10680     0.10680    3.511296588    2.972307541   -0.538989047
     1       2     0.09968     0.09968     0.09968    3.731150332    3.201671760   -0.529478571
     1       2     0.09256     0.09256     0.09256    3.950844624    3.432019187   -0.518825437
     1       2     0.08544     0.08544     0.08544    4.169750946    3.662212645   -0.507538300
     1       2     0.07832     0.07832     0.07832    4.387048134    3.891086264   -0.495961870
     1       2     0.07120     0.07120     0.07120    4.601738821    4.117404582   -0.484334239
     1       2     0.06408     0.06408     0.06408    4.812815242    4.339944125   -0.472871117
     1       2     0.05696     0.05696     0.05696    5.018152960    4.556299177   -0.461853782
     1       2     0.04984     0.04984     0.04984    5.215934239    4.764229974   -0.451704264
     1       2     0.04272     0.04272     0.04272    5.403443090    4.960430986   -0.443012103
     1       2     0.03560     0.03560     0.03560    5.577228789    5.140787256   -0.436441533
     1       2     0.02848     0.02848     0.02848    5.732570576    5.300130507   -0.432440069
     1       2     0.02136     0.02136     0.02136    5.863856504    5.433056862   -0.430799642
     1       2     0.01424     0.01424     0.01424    5.964667302    5.534167641   -0.430499661
     1       2     0.00712     0.00712     0.00712    6.028725974    5.598234441   -0.430491533
     1       2     0.00000     0.00000     0.00000    6.050663150    5.620171620   -0.430491530
     1       2     0.00000     0.01250     0.00000    6.037725209    5.607233679   -0.430491530
     1       2     0.00000     0.02499     0.00000    5.999542719    5.569049461   -0.430493259
     1       2     0.00000     0.03749     0.00000    5.937724526    5.507125175   -0.430599351
     1       2     0.00000     0.04999     0.00000    5.855201296    5.423837224   -0.431364072
     1       2     0.00000     0.06248     0.00000    5.754523508    5.320932223   -0.433591285
     1       2     0.00000     0.07498     0.00000    5.638683031    5.200946604   -0.437736427
     1       2     0.00000     0.08747     0.00000    5.510353707    5.066596031   -0.443757676
     1       2     0.00000     0.09997     0.00000    5.371771154    4.920470460   -0.451300694
     1       2     0.00000     0.11247     0.00000    5.224657261    4.764734830   -0.459922431
     1       2     0.00000     0.12496     0.00000    5.070948271    4.601718537   -0.469229734
     1       2     0.00000     0.13746     0.00000    4.911747266    4.432819769   -0.478927497
     1       2     0.00000     0.14996     0.00000    4.748077680    4.259267557   -0.488810123
     1       2     0.00000     0.16245     0.00000    4.580761172    4.082034276   -0.498726896
     1       2     0.00000     0.17495     0.00000    4.410457900    3.901919509   -0.508538391
     1       2     0.00000     0.18745     0.00000    4.237699824    3.719628228   -0.518071595
     1       2     0.00000     0.19994     0.00000    4.062917611    3.535838196   -0.527079415
     1       2     0.00000     0.21244     0.00000    3.886458899    3.351242792   -0.535216107
     1       2     0.00000     0.22494     0.00000    3.708461963    3.166409424   -0.542052539
     1       2     0.00000     0.23743     0.00000    3.529474568    2.982308258   -0.547166310
     1       2     0.00000     0.24993     0.00000    3.349543015    2.799214158   -0.550328857
     1       2     0.00000     0.26242     0.00000    3.168838677    2.617102436   -0.551736241
     1       2     0.00000     0.27492     0.00000    2.987510274    2.435439524   -0.552070751
     1       2     0.00000     0.28742     0.00000    2.805689428    2.253598175   -0.552091254
     1       2     0.00000     0.29991     0.00000    2.623495074    2.071403792   -0.552091282
     1       2     0.00000     0.31241     0.00000    2.441037013    1.888945731   -0.552091282
     1       2     0.00000     0.32491     0.00000    2.258872832    1.706781531   -0.552091300
     1       2     0.00000     0.33740     0.00000    2.076195926    1.524091500   -0.552104426
     1       2     0.00000     0.34990     0.00000    1.893554343    1.341235767   -0.552318575
     1       2     0.00000     0.36240     0.00000    1.711043925    1.157824357   -0.553219568
     1       2     0.00000     0.37489     0.00000    1.528760325    0.973516128   -0.555244197
     1       2     0.00000     0.38739     0.00000    1.346591205    0.788073226   -0.558517979
     1       2     0.00000     0.39988     0.00000    1.165056717    0.602162126   -0.562894590
     1       2     0.00000     0.41238     0.00000    0.984040437    0.415936823   -0.568103614
     1       2     0.00000     0.42488     0.00000    0.803641474    0.229771149   -0.573870325
     1       2     0.00000     0.43737     0.00000    0.623959965    0.043986584   -0.579973382
     1       2     0.00000     0.44987     0.00000    0.445764421   -0.140490176   -0.586254597
     1       2     0.00000     0.46237     0.00000    0.267810110   -0.324793099   -0.592603209
     1       2     0.00000     0.47486     0.00000    0.090877813   -0.508052149   -0.598929962
     1       2     0.00000     0.48736     0.00000   -0.084930598   -0.690068965   -0.605138367
     1       2     0.00000     0.49986     0.00000   -0.259513627   -0.870610431   -0.611096804
     1       2     0.00000     0.51235     0.00000   -0.433133121   -1.049749470   -0.616616349
     1       2     0.00000     0.52485     0.00000   -0.604952220   -1.226397529   -0.621445309
     1       2     0.00000     0.53735     0.00000   -0.775247057   -1.400547106   -0.625300049
     1       2     0.00000     0.54984     0.00000   -0.943920914   -1.571874638   -0.627953724
     1       2     0.00000     0.56234     0.00000   -1.111172884   -1.740552447   -0.629379563
     1       2     0.00000     0.57483     0.00000   -1.276313397   -1.906182526   -0.629869129
     1       2     0.00000     0.58733     0.00000   -1.439713915   -2.069650963   -0.629937048
     1       2     0.00000     0.59983     0.00000   -1.600961246   -2.230899401   -0.629938155
     1       2     0.00000     0.61232     0.00000   -1.760136599   -2.390074754   -0.629938155
     1       2     0.00900     0.61232     0.00900   -1.758094380   -2.388032535   -0.629938155
     1       2     0.01801     0.61232     0.01801   -1.751967975   -2.381906123   -0.629938148
     1       2     0.02701     0.61232     0.02701   -1.741573950   -2.371509865   -0.629935916
     1       2     0.03602     0.61232     0.03602   -1.727278757   -2.357175171   -0.629896414
     1       2     0.04502     0.61232     0.04502   -1.708904845   -2.338590134   -0.629685288
     1       2     0.05403     0.61232     0.05403   -1.686452561   -2.315517458   -0.629064897
     1       2     0.06303     0.61232     0.06303   -1.659924704   -2.287683890   -0.627759186
     1       2     0.07204     0.61232     0.07204   -1.629250668   -2.254779206   -0.625528538
     1       2     0.08104     0.61232     0.08104   -1.594574701   -2.216816981   -0.622242281
     1       2     0.09005     0.61232     0.09005   -1.555834621   -2.173799225   -0.617964603
     1       2     0.09905     0.61232     0.09905   -1.513035196   -2.126099102   -0.613063906
     1       2     0.10806     0.61232     0.10806   -1.466182339   -2.074471192   -0.608288853
     1       2     0.11706     0.61232     0.11706   -1.415281837   -2.019896716   -0.604614879
     1       2     0.12607     0.61232     0.12607   -1.360264003   -1.962942894   -0.602678890
     1       2     0.13507     0.61232     0.13507   -1.301348283   -1.903518259   -0.602169976
