Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          28.2636      28.2636       0.0000     0.0
0.0010          28.2723      27.8238       0.4485    77.1
0.0020          28.2720      26.5564       1.7156   294.9
0.0030          28.2408      24.6074       3.6334   624.6
0.0040          28.2462      22.1644       6.0818  1045.6
0.0050          28.2655      19.4312       8.8343  1518.8
0.0060          28.3025      16.6068      11.6957  2010.7
0.0070          28.2638      13.8648      14.3991  2475.5
0.0080          28.1565      11.3252      16.8313  2893.6
0.0090          28.1361       9.0556      19.0805  3280.3
0.0100          28.0877       7.0849      21.0028  3610.8
0.0110          28.0546       5.4207      22.6339  3891.2
0.0120          28.0222       4.0466      23.9755  4121.8
0.0130          27.9648       2.9398      25.0249  4302.3
0.0140          27.9294       2.0733      25.8561  4445.1
0.0150          27.8342       1.4213      26.4128  4540.9
0.0160          27.8229       0.9604      26.8625  4618.2
0.0170          27.7739       0.6726      27.1012  4659.2
0.0180          27.6921       0.5465      27.1456  4666.8
0.0190          27.6227       0.5764      27.0462  4649.8
0.0200          27.6448       0.7632      26.8816  4621.5
0.0210          27.7087       1.1148      26.5939  4572.0
0.0220          27.7822       1.6451      26.1371  4493.5
0.0230          27.7064       2.3731      25.3332  4355.3
0.0240          27.6688       3.3211      24.3477  4185.8
0.0250          27.6343       4.5139      23.1204  3974.8
0.0260          27.5942       5.9757      21.6185  3716.6
0.0270          27.5307       7.7235      19.8072  3405.2
0.0280          27.6425       9.7649      17.8776  3073.5
0.0290          27.6329      12.0869      15.5461  2672.7
0.0300          27.6098      14.6365      12.9733  2230.4
0.0310          27.6252      17.3286      10.2967  1770.2
0.0320          27.6502      20.0358       7.6144  1309.1
0.0330          27.6680      22.5853       5.0827   873.8
0.0340          27.6444      24.7717       2.8726   493.9
0.0350          27.6420      26.3985       1.2435   213.8
0.0360          27.6449      27.3077       0.3372    58.0
0.0370          27.6468      27.4165       0.2302    39.6
0.0380          27.6302      26.7219       0.9083   156.1
0.0390          27.5918      25.2967       2.2951   394.6
0.0400          27.5695      23.2848       4.2847   736.6
0.0410          27.5463      20.8619       6.6844  1149.2
0.0420          27.4952      18.2241       9.2711  1593.9
0.0430          27.4868      15.5469      11.9399  2052.7
0.0440          27.4368      12.9700      14.4668  2487.1
0.0450          27.4268      10.5915      16.8353  2894.3
0.0460          27.3716       8.4699      18.9017  3249.6
0.0470          27.3793       6.6320      20.7473  3566.8
0.0480          27.3623       5.0777      22.2847  3831.2
0.0490          27.4172       3.7938      23.6235  4061.3
0.0500          27.3627       2.7598      24.6029  4229.7
0.0510          27.3297       1.9527      25.3769  4362.8
0.0520          27.3582       1.3475      26.0108  4471.7
0.0530          27.2930       0.9247      26.3683  4533.2
0.0540          27.2437       0.6692      26.5744  4568.6
0.0550          27.2183       0.5705      26.6478  4581.3
0.0560          27.2176       0.6246      26.5931  4571.8
0.0570          27.1881       0.8333      26.3548  4530.9
0.0580          27.0616       1.2042      25.8575  4445.4
0.0590          27.1288       1.7504      25.3785  4363.0
0.0600          27.1185       2.4902      24.6283  4234.1
0.0610          27.0419       3.4439      23.5980  4056.9
0.0620          27.0173       4.6338      22.3834  3848.1
0.0630          26.9893       6.0795      20.9098  3594.8
0.0640          26.9521       7.7936      19.1585  3293.7
0.0650          26.9167       9.7733      17.1434  2947.3
0.0660          26.9548      11.9958      14.9590  2571.7
0.0670          26.9958      14.4108      12.5849  2163.6
0.0680          26.9922      16.9302      10.0620  1729.8
0.0690          27.0212      19.4255       7.5957  1305.8
0.0700          27.0124      21.7404       5.2719   906.3
0.0710          27.0257      23.6966       3.3291   572.3
0.0720          27.0027      25.1348       1.8680   321.1
0.0730          27.0361      25.9207       1.1154   191.8
0.0740          27.0442      25.9914       1.0528   181.0
0.0750          27.0400      25.3472       1.6929   291.0
0.0760          27.0058      24.0605       2.9452   506.3
0.0770          27.0099      22.2522       4.7577   817.9
0.0780          27.0197      20.0677       6.9519  1195.2
0.0790          27.0250      17.6717       9.3534  1608.0
0.0800          26.9507      15.2199      11.7309  2016.8
0.0810          26.8792      12.8426      14.0366  2413.1
0.0820          26.8474      10.6235      16.2239  2789.2
0.0830          26.7886       8.6186      18.1700  3123.8
0.0840          26.7247       6.8580      19.8667  3415.5
0.0850          26.6804       5.3490      21.3313  3667.3
0.0860          26.6566       4.0826      22.5740  3880.9
0.0870          26.6390       3.0447      23.5943  4056.3
0.0880          26.5595       2.2179      24.3416  4184.8
0.0890          26.4489       1.5827      24.8662  4275.0
0.0900          26.3880       1.1213      25.2668  4343.8
0.0910          26.3267       0.8187      25.5080  4385.3
0.0920          26.1763       0.6643      25.5120  4386.0
0.0930          26.0958       0.6516      25.4442  4374.3
0.0940          25.9978       0.7790      25.2187  4335.6
0.0950          25.8505       1.0495      24.8011  4263.8
0.0960          25.9186       1.4702      24.4484  4203.1
0.0970          25.8592       2.0519      23.8073  4092.9
0.0980          25.7364       2.8063      22.9301  3942.1
0.0990          25.6029       3.7438      21.8591  3758.0
0.1000          25.5760       4.8745      20.7016  3559.0
0.1010          25.5252       6.2010      19.3242  3322.2
0.1020          25.5341       7.7187      17.8154  3062.8
0.1030          25.4993       9.4047      16.0946  2767.0
0.1040          25.5063      11.2188      14.2876  2456.3
0.1050          25.5004      13.1022      12.3982  2131.5
0.1060          25.5123      14.9731      10.5392  1811.9
0.1070          25.5061      16.7322       8.7739  1508.4
0.1080          25.5178      18.2739       7.2439  1245.4
0.1090          25.4955      19.5070       5.9885  1029.5
0.1100          25.4789      20.3538       5.1251   881.1
0.1110          25.4677      20.7662       4.7015   808.3
0.1120          25.4532      20.7183       4.7349   814.0
0.1130          25.4415      20.2295       5.2119   896.0
0.1140          25.4221      19.3494       6.0726  1044.0
0.1150          25.4147      18.1356       7.2791  1251.4
0.1160          25.4249      16.6710       8.7539  1505.0
0.1170          25.3627      15.0467      10.3160  1773.5
0.1180          25.3283      13.3404      11.9878  2060.9
0.1190          25.2756      11.6262      13.6494  2346.6
0.1200          25.2786       9.9637      15.3149  2632.9
0.1210          25.2378       8.3995      16.8384  2894.8
0.1220          25.2249       6.9625      18.2624  3139.7
0.1230          25.1766       5.6723      19.5043  3353.2
0.1240          25.0908       4.5368      20.5540  3533.6
0.1250          25.1022       3.5562      21.5460  3704.2
0.1260          25.1467       2.7230      22.4237  3855.1
0.1270          25.0847       2.0307      23.0540  3963.4
0.1280          25.0641       1.4696      23.5944  4056.3
0.1290          25.0783       1.0291      24.0493  4134.5
0.1300          25.1336       0.6981      24.4355  4200.9
0.1310          25.0601       0.4684      24.5917  4227.8
0.1320          25.0593       0.3325      24.7269  4251.0
0.1330          25.0746       0.2842      24.7904  4261.9
0.1340          24.9524       0.3195      24.6329  4234.9
0.1350          24.9728       0.4359      24.5369  4218.4
0.1360          24.9330       0.6324      24.3006  4177.7
0.1370          24.8513       0.9073      23.9439  4116.4
0.1380          24.7595       1.2598      23.4997  4040.0
0.1390          24.7606       1.6901      23.0705  3966.3
0.1400          24.7047       2.1974      22.5073  3869.4
0.1410          24.6536       2.7784      21.8752  3760.8
0.1420          24.5615       3.4245      21.1370  3633.9
0.1430          24.5785       4.1229      20.4556  3516.7
0.1440          24.5727       4.8567      19.7160  3389.5
0.1450          24.5545       5.6087      18.9458  3257.1
0.1460          24.3997       6.3545      18.0452  3102.3
0.1470          24.4339       7.0701      17.3637  2985.2
0.1480          24.3394       7.7281      16.6113  2855.8
0.1490          24.2802       8.3007      15.9794  2747.2
0.1500          24.2811       8.7693      15.5118  2666.8
0.1510          24.2519       9.1198      15.1321  2601.5
0.1520          24.2764       9.3429      14.9335  2567.3
0.1530          24.2719       9.4392      14.8326  2550.0
0.1540          24.2756       9.4167      14.8588  2554.5
0.1550          24.1832       9.2911      14.8921  2560.2
0.1560          24.1035       9.0751      15.0285  2583.7
0.1570          24.0558       8.7870      15.2688  2625.0
0.1580          24.0429       8.4464      15.5965  2681.3
0.1590          23.9637       8.0719      15.8919  2732.1
0.1600          23.8925       7.6823      16.2102  2786.8
0.1610          23.8283       7.2920      16.5363  2842.9
0.1620          23.7476       6.9132      16.8344  2894.1
0.1630          23.7147       6.5598      17.1548  2949.2
0.1640          23.6615       6.2389      17.4226  2995.3
0.1650          23.5433       5.9534      17.5898  3024.0
0.1660          23.5802       5.7054      17.8748  3073.0
0.1670          23.4270       5.4978      17.9292  3082.4
0.1680          23.4257       5.3317      18.0940  3110.7
0.1690          23.4283       5.2076      18.2207  3132.5
0.1700          23.3689       5.1231      18.2458  3136.8
0.1710          23.2954       5.0790      18.2165  3131.8
0.1720          23.3875       5.0730      18.3145  3148.6
0.1730          23.3456       5.1043      18.2413  3136.0
0.1740          23.2345       5.1701      18.0644  3105.6
0.1750          23.1925       5.2649      17.9276  3082.1
0.1760          23.1181       5.3821      17.7360  3049.2
0.1770          23.0997       5.5168      17.5829  3022.8
0.1780          22.9791       5.6588      17.3204  2977.7
0.1790          22.9973       5.7994      17.1980  2956.7
0.1800          22.8975       5.9311      16.9664  2916.8
0.1810          22.8358       6.0449      16.7908  2886.7
0.1820          22.7909       6.1337      16.6572  2863.7
0.1830          22.7431       6.1913      16.5518  2845.6
0.1840          22.7112       6.2123      16.4989  2836.5
0.1850          22.6710       6.1998      16.4712  2831.7
0.1860          22.6541       6.1532      16.5009  2836.8
0.1870          22.6418       6.0749      16.5669  2848.2
0.1880          22.6456       5.9677      16.6778  2867.2
0.1890          22.6050       5.8379      16.7671  2882.6
0.1900          22.5729       5.6901      16.8828  2902.5
0.1910          22.5337       5.5296      17.0041  2923.3
0.1920          22.4727       5.3626      17.1101  2941.6
0.1930          22.4095       5.1944      17.2151  2959.6
0.1940          22.3627       5.0294      17.3333  2979.9
0.1950          22.3026       4.8709      17.4317  2996.8
0.1960          22.2047       4.7233      17.4814  3005.4
0.1970          22.1287       4.5881      17.5407  3015.6
0.1980          22.0779       4.4658      17.6122  3027.9
0.1990          22.0510       4.3557      17.6953  3042.2
0.2000          21.9928       4.2555      17.7373  3049.4
0.2010          21.9728       4.1653      17.8075  3061.4
0.2020          22.0071       4.0837      17.9234  3081.4
0.2030          21.9973       4.0100      17.9874  3092.4
0.2040          22.0141       3.9453      18.0688  3106.4
0.2050          22.0195       3.8903      18.1292  3116.7
0.2060          22.0006       3.8445      18.1561  3121.4
0.2070          21.9730       3.8079      18.1650  3122.9
0.2080          21.9705       3.7806      18.1899  3127.2
0.2090          21.8239       3.7621      18.0618  3105.2
0.2100          21.7602       3.7491      18.0111  3096.4
0.2110          21.7442       3.7384      18.0058  3095.5
0.2120          21.6736       3.7268      17.9467  3085.4
0.2130          21.6706       3.7117      17.9588  3087.5
0.2140          21.6316       3.6891      17.9425  3084.7
0.2150          21.5642       3.6548      17.9094  3079.0
0.2160          21.4955       3.6052      17.8903  3075.7
0.2170          21.4101       3.5351      17.8750  3073.0
0.2180          21.2990       3.4446      17.8544  3069.5
0.2190          21.3998       3.3328      18.0670  3106.1
0.2200          21.3780       3.2033      18.1746  3124.6
0.2210          21.4455       3.0616      18.3839  3160.5
0.2220          21.3702       2.9166      18.4535  3172.5
0.2230          21.3478       2.7717      18.5761  3193.6
0.2240          21.3069       2.6336      18.6733  3210.3
0.2250          21.2657       2.5062      18.7595  3225.1
0.2260          21.1859       2.3910      18.7948  3231.2
0.2270          21.1999       2.2899      18.9100  3251.0
0.2280          21.1492       2.2019      18.9473  3257.4
0.2290          21.1343       2.1272      19.0071  3267.7
0.2300          21.1052       2.0670      19.0382  3273.0
0.2310          21.0488       2.0219      19.0269  3271.1
0.2320          21.0529       1.9882      19.0647  3277.6
0.2330          21.0794       1.9641      19.1152  3286.3
0.2340          21.0372       1.9502      19.0869  3281.4
0.2350          20.9384       1.9416      18.9968  3265.9
0.2360          20.9156       1.9371      18.9785  3262.8
0.2370          20.9099       1.9343      18.9756  3262.3
0.2380          20.8879       1.9296      18.9583  3259.3
0.2390          20.8869       1.9235      18.9634  3260.2
0.2400          20.8122       1.9135      18.8988  3249.1
0.2410          20.7715       1.8953      18.8762  3245.2
0.2420          20.6902       1.8676      18.8226  3236.0
0.2430          20.6116       1.8269      18.7847  3229.4
0.2440          20.5439       1.7725      18.7714  3227.2
0.2450          20.5043       1.7036      18.8006  3232.2
0.2460          20.5110       1.6208      18.8902  3247.6
0.2470          20.4348       1.5257      18.9090  3250.8
0.2480          20.3547       1.4217      18.9331  3255.0
0.2490          20.2970       1.3107      18.9862  3264.1
0.2500          20.3203       1.1938      19.1265  3288.2
0.2510          20.3237       1.0747      19.2490  3309.3
0.2520          20.2794       0.9561      19.3233  3322.0
0.2530          20.2318       0.8404      19.3914  3333.7
0.2540          20.1498       0.7273      19.4225  3339.1
0.2550          20.1546       0.6177      19.5369  3358.8
0.2560          20.0494       0.5112      19.5382  3359.0
0.2570          19.9980       0.4079      19.5900  3367.9
0.2580          20.0255       0.3092      19.7164  3389.6
0.2590          20.0019       0.2147      19.7872  3401.8
0.2600          19.9826       0.1238      19.8587  3414.1
0.2610          19.9975       0.0368      19.9608  3431.6
0.2620          19.8564      -0.0437      19.9002  3421.2
0.2630          19.7611      -0.1179      19.8790  3417.6
0.2640          19.6800      -0.1838      19.8638  3415.0
