energy imag_0.001 real_0.001 imag_0.002 real_0.002 imag_0.005 real_0.005 imag_0.01 real_0.01 imag_0.02 real_0.02 imag_0.05 real_0.05 imag_0.1 real_0.1 imag_0.2 real_0.2 imag_0.5 real_0.5
0.1 184.62606701519 203.21863168646806 82.582863447349 103.3872615201268 31.743967125913 43.17528560693927 17.120784528298 22.770739540571878 10.455928628245 12.20425230522939 6.0831772322361 5.438550452281907 3.4958769525899 2.8934216728329805 1.676652610567 1.4797696177787338 0.63251998325982 0.6094421793858442
0.11 59.658803292397 137.13964544935425 34.052557819504 72.31150769020189 16.91051699109 30.46564986040939 10.421064720477 15.6535430050094 6.6238298010397 7.770804743277023 3.6943399808197 2.845747935895025 2.1627500825829 1.3999532605325558 1.1450949882657 0.7567922733501825 0.51732981804748 0.32994296443609233
0.12 34.650721854037 145.89611102811887 18.681910154802 73.95416432675673 9.3268654249198 29.606951070964357 5.8582098247597 14.611608912503117 3.5926393720545 7.0521459424598145 1.8012359914025 2.5313166228335935 1.0710224409811 1.2058792241961256 0.63196922441973 0.6160818481594709 0.3337143314184 0.23488229545678022
0.13 33.534107517445 151.095269893991 19.323103050171 75.79633124779387 8.8479139671635 30.153737929974913 5.0691461304348 14.867846783746902 3.1020773733643 7.258080063615181 1.6591962654088 2.734441947657769 0.99528784275866 1.3153991238649467 0.5723068220512 0.6399680819640856 0.28051024497155 0.21924461266490475
0.14 26.527047491416 151.7112390100066 14.546986661889 75.46793639510867 6.7271013944016 30.193183292752142 3.916130498444 15.07371377759005 2.4515785756656 7.420936489853624 1.3728088635734 2.811402825647762 0.84124112850727 1.3467798790944412 0.48695027314925 0.6426305666605333 0.22901368048595 0.2168431912065949
0.15 13.156019595596 158.08518534775268 8.4446801720463 78.33019141243267 5.0552349306278 31.143448402192394 3.5231488641114 15.508129362749196 2.4706763880867 7.594991584564409 1.455080896998 2.8346726984134563 0.88650094305092 1.3429875247913 0.49911884183093 0.6338658651553171 0.2311490101865 0.21456026048964344
0.16 14.229873590689 168.24178108283513 7.9826224318413 83.24154369431929 4.4177839397885 32.78022106733887 3.2341054419449 16.057874492434085 2.3673165377873 7.670044330380794 1.347259829183 2.776673899027411 0.80989379866139 1.297983558501269 0.45881551519039 0.6086757418284239 0.21643376783624 0.20363257130304435
0.17 16.429103344419 178.41552234022265 9.7885828599202 88.46180919945304 5.4545751009473 34.646439085641695 3.8477130308915 16.587025612072697 2.5901769080358 7.658031839304593 1.3352128110545 2.7088098314299955 0.7976555768163 1.2504320463767575 0.46812267273759 0.5714306551367625 0.22919343801908 0.17985664518124683
0.18 24.076595157618 194.7104962790561 16.788347475401 94.18146800885768 9.6654201565891 35.206948738368745 5.5154730629361 16.295412087758667 2.7996940847255 7.40304179511866 1.2124900121544 2.6224526178603442 0.71048132855499 1.1946705979183534 0.3989934029082 0.530723333580721 0.18177132380469 0.15713624976419058
0.19 111.86731219048 169.51265115964935 52.273961374122 81.44353369650672 16.657367192907 31.025564436250875 6.4183360729419 14.946899600391056 2.50292430855 7.164755925287652 0.97618799732508 2.648265436332983 0.56505172251227 1.2065133252007898 0.31653759223827 0.5345851826916641 0.14327963429147 0.16086786516641366
0.2 63.194545603199 125.84586135838853 30.046269040817 62.290975159909785 11.524905698648 25.798509665482406 5.4279331228535 13.486939332138846 2.544969020288 6.920602337247592 1.0998531547814 2.6513142512399837 0.60698955078289 1.218039486106459 0.31888771981818 0.5455000624008647 0.14032113263318 0.16780894564927065
0.21 9.493336824319 129.06974217346394 5.9150558151548 63.77947392965177 3.8562906452349 25.86625819900577 2.8252164271047 13.328121151642112 1.8257514415965 6.83489805543391 0.91273465921391 2.6298940217214333 0.52840991275734 1.2097662176585289 0.29372034175618 0.5426696145800828 0.13404287450922 0.16597762557357665
0.22 3.4109681616926 149.75338436057245 2.6700993614276 73.0733181005642 2.1856407999983 28.778236573225012 1.9217336349704 14.30948616859434 1.560877341298 7.081928043084763 0.91976698195859 2.6644619695466565 0.52048880360494 1.2225115756854261 0.27392511412081 0.5475474055422511 0.11603775036317 0.16819379508911392
0.23 3.0608709944888 167.77117586297794 2.4937659716022 81.2357200494432 2.1413338711021 31.624642205083408 1.8753069003325 15.452219257076182 1.5087086838144 7.406114905709574 0.9039996301208 2.6730857636681136 0.5328338623519 1.2090910359574603 0.28707320849035 0.5404744608159231 0.12302279108604 0.1677367003586835
