# Phonon-assisted absorption versus energy
# Photon energy (eV), Directionally-averaged imaginary dielectric function along x,y,z
  0.10000000000000E+00  0.20419098666402E+02  0.20411746809481E+02  0.20362840747630E+02  0.20193462256432E+02  0.19549052110033E+02  0.16006985421123E+02  0.98035323099840E+01  0.40447726214689E+01  0.11052348974780E+01
  0.11000000000000E+00  0.15849723356320E+02  0.15844842134750E+02  0.15812944730743E+02  0.15703152613476E+02  0.15284176841912E+02  0.12904252422905E+02  0.83686107418235E+01  0.36526394317266E+01  0.10156281945865E+01
  0.12000000000000E+00  0.11235323211457E+02  0.11233106727959E+02  0.11217772393127E+02  0.11163585263793E+02  0.10952636845056E+02  0.96844595372778E+01  0.69206161009399E+01  0.34418580932952E+01  0.11479350982580E+01
  0.13000000000000E+00  0.88031423012029E+01  0.88029452654403E+01  0.87975429304308E+01  0.87726020973076E+01  0.86646628246619E+01  0.79502284895083E+01  0.61606978266749E+01  0.34340834989492E+01  0.12931701285508E+01
  0.14000000000000E+00  0.69828928845668E+01  0.69819245125299E+01  0.69749714493972E+01  0.69499978358735E+01  0.68515246993506E+01  0.62355373584457E+01  0.47491847171363E+01  0.25523511691720E+01  0.86473682657722E+00
  0.15000000000000E+00  0.66092148194798E+01  0.66083886455486E+01  0.66025403519418E+01  0.65816418617321E+01  0.64992684697579E+01  0.59783842130108E+01  0.46743725899396E+01  0.26076862762735E+01  0.88793620210968E+00
  0.16000000000000E+00  0.54256517329155E+01  0.54251943858569E+01  0.54212011403404E+01  0.54058587878824E+01  0.53434872288531E+01  0.49401568517635E+01  0.39064819775674E+01  0.22149542043068E+01  0.75773031277223E+00
  0.17000000000000E+00  0.45686886931768E+01  0.45681210987014E+01  0.45644970134501E+01  0.45520848054614E+01  0.45039608347428E+01  0.41979716579148E+01  0.33953377812631E+01  0.19957700535235E+01  0.69350873621161E+00
  0.18000000000000E+00  0.44564977061323E+01  0.44559850281954E+01  0.44530161029491E+01  0.44433185679099E+01  0.44064671318359E+01  0.41710461264182E+01  0.35187522440029E+01  0.22287537142151E+01  0.80928229088832E+00
  0.19000000000000E+00  0.34934276399355E+01  0.34930595495402E+01  0.34909546620146E+01  0.34841103012170E+01  0.34581271669495E+01  0.32911234641723E+01  0.28174984214735E+01  0.18334517521077E+01  0.67715962044861E+00
  0.20000000000000E+00  0.31190160876083E+01  0.31187020767441E+01  0.31169180603076E+01  0.31111457315600E+01  0.30892824701845E+01  0.29486877086988E+01  0.25471302736805E+01  0.16950179227917E+01  0.65254028423404E+00
  0.21000000000000E+00  0.25339510608000E+01  0.25338506047871E+01  0.25329398625642E+01  0.25293550767398E+01  0.25145320842577E+01  0.24138536273263E+01  0.21159891577839E+01  0.14571097834741E+01  0.60735914908697E+00
  0.22000000000000E+00  0.27681513797289E+01  0.27679016900089E+01  0.27664789297872E+01  0.27618408132216E+01  0.27441837020834E+01  0.26298114294494E+01  0.22979289978611E+01  0.15708254571850E+01  0.64596206888986E+00
  0.23000000000000E+00  0.22740701051892E+01  0.22740597529230E+01  0.22735185974755E+01  0.22709089840080E+01  0.22593629229991E+01  0.21778555026358E+01  0.19295950194592E+01  0.13546320622689E+01  0.55938366472040E+00
  0.24000000000000E+00  0.18643879431774E+01  0.18643590382802E+01  0.18639376423866E+01  0.18620372106309E+01  0.18537599538615E+01  0.17954479875999E+01  0.16147988748523E+01  0.11757954390022E+01  0.51741714652348E+00
  0.25000000000000E+00  0.19832743289842E+01  0.19831554722384E+01  0.19824763546849E+01  0.19802371802856E+01  0.19716384811132E+01  0.19148491318238E+01  0.17405651493706E+01  0.13013486363641E+01  0.58495266886871E+00
  0.26000000000000E+00  0.16896221606853E+01  0.16895299755495E+01  0.16889909818185E+01  0.16871966986577E+01  0.16802746099071E+01  0.16343741671196E+01  0.14926180059476E+01  0.11300573818281E+01  0.52227013080886E+00
  0.27000000000000E+00  0.13573575093437E+01  0.13574444181286E+01  0.13575907944399E+01  0.13572285171331E+01  0.13541657096193E+01  0.13270714650361E+01  0.12334725069907E+01  0.97443752740245E+00  0.49420090597486E+00
