energy epsilon1 epsilon2
0.1 13.536127887201383 16.477022996639
0.13 7.041354733657926 13.582376590639
0.16 3.7823834805198717 12.577115412831
0.19 1.75445827611176 10.122052773871
0.22 0.8991415930657689 8.6377585918775
0.25 0.13821934411879613 8.1784547871901
0.28 -0.6708122017616611 7.23596804693
0.31 -1.169949744125097 6.193514194819
0.34 -1.5153641619158218 5.5183788843706
0.37 -1.8486142615264218 4.7797663082958
0.4 -2.0283203922023874 3.8633863574872
0.43 -1.908196965191065 2.9064075821846
0.46 -1.5807864722034917 2.342971272082
0.49 -1.2728245217583534 2.091083993441
0.52 -1.023022721069021 1.8874003189496
0.55 -0.7854395597026319 1.7629918618968
0.58 -0.5820147364201113 1.7617289749602
0.61 -0.4581100839169877 1.8544792138074
0.64 -0.4047390705268842 1.9370739666192
0.67 -0.42788444631427697 2.0873395960354
0.7 -0.5343137635780348 2.1847439085042
0.73 -0.6998824877378453 2.2504716371455
0.76 -0.9268978299665489 2.2576862947677
0.79 -1.1470264400587493 2.0849325715264
0.82 -1.3214335140348172 1.9003797702223
0.85 -1.4476465714132976 1.6307654783431
0.88 -1.5124971063014443 1.3661979117168
0.91 -1.5178186409829353 1.0748900110771
0.94 -1.4659207224092243 0.82072349128565
0.97 -1.3584816907764472 0.57082829586241
1.0 -1.2092425256175146 0.41075037825807
1.03 -1.0691307693731655 0.33340408964814
1.06 -0.9576924692223451 0.27716181648332
1.09 -0.8511110568806445 0.20038913060877
1.12 -0.7318104356856687 0.14531464594646
1.15 -0.6197761382123949 0.13937709773368
1.18 -0.5272373526795137 0.14040605910428
1.21 -0.43764646289092696 0.1326329491763
1.24 -0.3518789194247751 0.15785456097815
1.27 -0.2807789221499415 0.1925172775724
1.3 -0.2197580592801655 0.23166751625842
1.33 -0.1711490630238015 0.28794427330871
1.36 -0.1386449831376918 0.34897965073242
1.39 -0.12349419769697814 0.41934210052152
1.42 -0.13403289852889608 0.49875249141946
1.45 -0.1710191456630575 0.56283501621428
1.48 -0.23405386038702491 0.61639506020983
1.51 -0.3152947579201462 0.62337370195407
1.54 -0.3949789414478025 0.58479243246421
1.57 -0.44443365521802963 0.48664345535487
1.6 -0.4548308735735741 0.39703395921247
1.63 -0.43777615738600945 0.30859707940991
1.66 -0.3887876228006018 0.22425020687618
1.69 -0.31766686904109753 0.18331919018689
1.72 -0.24283611189158125 0.17486436796887
1.75 -0.17518825499222296 0.19905542513432
1.78 -0.12137858812883574 0.24169315962743
1.81 -0.08190261499265983 0.29915636123548
1.84 -0.0656258868181492 0.38115483217079
1.87 -0.08567669988678252 0.46949590038803
1.9 -0.12676485387046685 0.51496409943596
1.93 -0.17738036392913348 0.55937093223705
1.96 -0.23924744416603724 0.5787215200749
1.99 -0.30354235315374556 0.57634734954917
2.02 -0.36101586825197785 0.54745612733471
2.05 -0.40430840256324274 0.50734598604605
2.08 -0.44132209091338104 0.47439889904276
2.11 -0.4704257208727161 0.4188763271282
2.14 -0.48180171796589655 0.36188004169132
2.17 -0.4883737002017045 0.32613262947483
2.2 -0.488101166648062 0.26764365050702
2.23 -0.4758309318502305 0.22662354502001
2.26 -0.45907880554559877 0.18796460241363
2.29 -0.43668582473778644 0.15559314295236
2.32 -0.40979931953903304 0.13127083119183
2.35 -0.38324917071640435 0.12149207600504
2.38 -0.36047993332070527 0.11708576882458
2.41 -0.3426123320629302 0.12075512710848
2.44 -0.3340939298565539 0.13057076815579
2.47 -0.3331077461782742 0.1317335815614
2.5 -0.3349476171871539 0.12874147331878
2.53 -0.3385426943556186 0.12064170796055
2.56 -0.34105639284112493 0.10482758907695
2.59 -0.3387330747719537 0.083354786518439
2.62 -0.3295880217095394 0.061050579150931
2.65 -0.3163381129641823 0.04576437147966
2.68 -0.3017281692219449 0.032554373787872
2.71 -0.2855016043118616 0.022077227733229
2.74 -0.268449946922296 0.015913164530282
2.77 -0.2531064299640167 0.015550242853393
2.8 -0.24092725139051188 0.016075055129051
2.83 -0.2296600456891074 0.01406519115623
2.86 -0.21851494685643405 0.014576733016592
2.89 -0.20876144134394703 0.016129634399778
2.92 -0.1997238050681475 0.016808664417366
2.95 -0.19125264748185744 0.019086211993082
2.98 -0.18390349928633998 0.021451433253324
3.01 -0.17633651905371242 0.022266352076289
3.04 -0.16846442786694155 0.025915917403884
3.07 -0.16190419344140658 0.03167444131762
3.1 -0.15661588923354433 0.037771864377346
3.13 -0.1532955330407774 0.047177469233439
3.16 -0.15529517334572296 0.060155458590647
3.19 -0.1634850110880608 0.068431910079318
3.22 -0.17229485472967282 0.06566950272324
3.25 -0.17997746025697425 0.063526339375981
3.28 -0.18766102144371746 0.055573561094957
3.31 -0.18969853581453866 0.03830985872815
3.34 -0.18530848510681378 0.027162280445529
3.37 -0.18012838283493107 0.021710319459883
3.4 -0.17539596215259265 0.015912409102689
3.43 -0.17000708257603267 0.010641142277758
3.46 -0.16422073642788976 0.006844294585432
3.49 -0.15841048517913092 0.0038730873779702
3.52 -0.15261701048606305 0.0017588885260759
3.55 -0.14711530733980324 0.00071370907442539
3.58 -0.14213059088758367 0.00021032780435357
3.61 -0.137633940242998 6.2744086786823e-06
3.64 -0.13358722456761637 1.9677019637558e-18
3.67 -0.12991744848530334 0.0
3.7 -0.12652541946166856 0.0
3.73 -0.12335562011640003 0.0
3.76 -0.12037179626550805 0.0
3.79 -0.11754795641318543 0.0
3.82 -0.11486443385426107 0.0
3.85 -0.11230578589384273 0.0
3.88 -0.10985954561650711 0.0
3.91 -0.1075154261489724 0.0
3.94 -0.10526478704460521 0.0
3.97 -0.10310026230965924 0.0
4.0 -0.10101549295347648 0.0
4.03 -0.09900492971683542 0.0
4.06 -0.09706368438887983 0.0
4.09 -0.0951874156424961 0.0
4.12 -0.09337223993815795 0.0
4.15 -0.09161466098467588 0.0
4.18 -0.0899115131696627 0.0
4.21 -0.08825991566497382 0.0
4.24 -0.08665723479974911 0.0
4.27 -0.08510105291488008 0.0
4.3 -0.08358914235518346 0.0
4.33 -0.08211944357566651 0.0
4.36 -0.08069004657311496 0.0
4.39 -0.0792991750287831 0.0
4.42 -0.0779451726792065 0.0
4.45 -0.07662649153192767 0.0
4.48 -0.07534168161952079 0.0
4.51 -0.07408938204466797 0.0
4.54 -0.07286831311543815 0.0
4.57 -0.07167726940648744 0.0
4.6 -0.07051511361093979 0.0
4.63 -0.06938077107092487 0.0
4.66 -0.06827322489345114 0.0
4.69 -0.06719151157344044 0.0
4.72 -0.0661347170581019 0.0
4.75 -0.06510197319694648 0.0
4.78 -0.0640924545300944 0.0
4.81 -0.06310537537443767 0.0
4.84 -0.06213998717298346 0.0
4.87 -0.06119557607751967 0.0
4.9 -0.06027146073879186 0.0
4.93 -0.05936699028179929 0.0
4.96 -0.05848154244671096 0.0
4.99 -0.057614521878369566 0.0
5.02 -0.05676535854944987 0.0
5.05 -0.05593350630414651 0.0
5.08 -0.055118441510813826 0.0
5.11 -0.054319661813319216 0.0
5.14 -0.05353668497203142 0.0
5.17 -0.05276904778636923 0.0
5.2 -0.052016305091715974 0.0
5.23 -0.051278028824266665 0.0
5.26 -0.05055380714804885 0.0
5.29 -0.04984324363894605 0.0
5.32 -0.049145956521070115 0.0
5.35 -0.04846157795128988 0.0
5.38 -0.04778975334812571 0.0
5.41 -0.04713014076158013 0.0
5.44 -0.0464824102807954 0.0
5.47 -0.04584624347671109 0.0
5.5 -0.045221332877151334 0.0
5.53 -0.04460738147199768 0.0
5.56 -0.04400410224630625 0.0
