# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1     0.11296     0.16347     0.15790  -19.670845079  -27.073880605   -7.403035526
     1       1     0.11730     0.16976     0.16398  -19.654675736  -27.054513587   -7.399837851
     1       1     0.12164     0.17605     0.17005  -19.638489110  -27.029880168   -7.391391058
     1       1     0.12599     0.18233     0.17612  -19.622718229  -27.007031835   -7.384313606
     1       1     0.13033     0.18862     0.18220  -19.607035186  -26.988679830   -7.381644644
     1       1     0.13468     0.19491     0.18827  -19.591766479  -26.973557189   -7.381790710
     1       1     0.13902     0.20119     0.19434  -19.577036664  -26.959596072   -7.382559408
     1       1     0.14337     0.20748     0.20042  -19.563173949  -26.946395541   -7.383221592
     1       1     0.14771     0.21377     0.20649  -19.575559320  -26.967914519   -7.392355200
     1       1     0.15206     0.22006     0.21256  -19.587777173  -26.979845495   -7.392068322
     1       1     0.15640     0.22634     0.21863  -19.599660877  -26.991351825   -7.391690949
     1       1     0.16074     0.23263     0.22471  -19.610522008  -27.002535383   -7.392013375
     1       1     0.16509     0.23892     0.23078  -19.620672299  -27.015030952   -7.394358653
     1       1     0.16943     0.24521     0.23685  -19.630052069  -27.029155222   -7.399103154
     1       1     0.17378     0.25149     0.24293  -19.638766725  -27.042096310   -7.403329585
     1       1     0.17812     0.25778     0.24900  -19.646657713  -27.050926266   -7.404268553
     1       1     0.18247     0.26407     0.25507  -19.653695789  -27.058005325   -7.404309536
     1       1     0.18681     0.27036     0.26115  -19.659810212  -27.063991239   -7.404181028
     1       1     0.19116     0.27664     0.26722  -19.665387810  -27.070473044   -7.405085234
     1       1     0.19550     0.28293     0.27329  -19.669757435  -27.077827750   -7.408070315
     1       1     0.19984     0.28922     0.27937  -19.673417929  -27.084888678   -7.411470749
     1       1     0.20419     0.29551     0.28544  -19.676243973  -27.090004870   -7.413760897
     1       1     0.20853     0.30179     0.29151  -19.678449208  -27.093210114   -7.414760906
     1       1     0.21288     0.30808     0.29759  -19.679728302  -27.094854138   -7.415125836
     1       1     0.21722     0.31437     0.30366  -19.680112066  -27.095348992   -7.415236926
     1       2     0.21722     0.08214     0.15183  -19.496009482  -26.873670176   -7.377660694
     1       2     0.21288     0.08049     0.14879  -19.495093256  -26.872828508   -7.377735252
     1       2     0.20853     0.07885     0.14576  -19.492676346  -26.870604015   -7.377927670
     1       2     0.20419     0.07721     0.14272  -19.488391343  -26.866292130   -7.377900787
     1       2     0.19984     0.07556     0.13968  -19.482737190  -26.859768587   -7.377031397
     1       2     0.19550     0.07392     0.13665  -19.475628810  -26.850693118   -7.375064308
     1       2     0.19116     0.07228     0.13361  -19.467527207  -26.839734323   -7.372207116
     1       2     0.18681     0.07064     0.13057  -19.458764041  -26.827593403   -7.368829362
     1       2     0.18247     0.06899     0.12754  -19.449076359  -26.814325771   -7.365249412
     1       2     0.17812     0.06735     0.12450  -19.438952103  -26.800639808   -7.361687706
     1       2     0.17378     0.06571     0.12146  -19.428049112  -26.786368706   -7.358319594
     1       2     0.16943     0.06407     0.11843  -19.416858025  -26.772202281   -7.355344256
     1       2     0.16509     0.06242     0.11539  -19.405241781  -26.758241499   -7.352999717
     1       2     0.16074     0.06078     0.11235  -19.393296394  -26.744836690   -7.351540296
     1       2     0.15640     0.05914     0.10932  -19.381148642  -26.732156175   -7.351007533
     1       2     0.15206     0.05749     0.10628  -19.368769592  -26.719813105   -7.351043512
     1       2     0.14771     0.05585     0.10324  -19.355937368  -26.707082913   -7.351145545
